Name,Position,Level,Python,Java,C++,C,C#,JavaScript,Ruby,PHP,Swift,Objective-C,R,Perl,Scala,Go,HTML,CSS
Person_1,Senior,4,4,6,4,0,4,0,0,0,0,4,0,4,0,0,0,0
Person_2,Senior,4,5,4,6,0,5,0,0,0,0,4,0,4,0,0,0,0
Person_3,Intern,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0
Person_4,Mid,2,2,2,2,0,2,0,0,0,0,4,0,4,0,0,0,0
Person_5,Mid,2,2,4,4,0,4,0,0,0,0,4,0,3,0,0,0,0
Person_6,Junior,1,1,3,2,0,2,0,0,0,0,3,0,2,0,0,0,0
Person_7,Mid,2,3,4,3,0,2,0,0,0,0,2,0,4,0,0,0,0
Person_8,Mid,2,3,2,4,0,3,0,0,0,0,2,0,2,0,0,0,0
Person_9,Mid-Senior,3,4,5,4,0,4,0,0,0,0,3,0,5,0,0,0,0
Person_10,Senior,4,6,6,4,0,6,0,0,0,0,5,0,4,0,0,0,0
Person_11,Mid-Senior,3,3,5,3,0,3,0,0,0,0,4,0,5,0,0,0,0
Person_12,Mid,2,4,4,4,0,2,0,0,0,0,3,0,3,0,0,0,0
Person_13,Intern,0,2,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0
Person_14,Intern,0,1,1,1,0,1,0,0,0,0,2,0,2,0,0,0,0
Person_15,Junior,1,3,1,3,0,2,0,0,0,0,1,0,2,0,0,0,0
Person_16,Senior,4,4,6,6,0,6,0,0,0,0,5,0,4,0,0,0,0
Person_17,Senior,4,4,5,6,0,4,0,0,0,0,4,0,6,0,0,0,0
Person_18,Mid-Senior,3,4,4,4,0,4,0,0,0,0,5,0,3,0,0,0,0
Person_19,Mid,2,2,2,3,0,3,0,0,0,0,4,0,2,0,0,0,0
Person_20,Mid,2,2,4,2,0,3,0,0,0,0,2,0,4,0,0,0,0
